name,actor,information,date,star,evaluate,introduction
疯狂的石头,郭涛TaoGuo/刘桦HuaLiu/连晋TeddyLin, 中国大陆中国香港   喜剧犯罪,2006 ,8.6,831724人评价,中国版《两杆大烟枪》。
背靠背，脸对脸,牛振华ZhenhuaN..., 中国大陆中国香港   剧情,1994 ,9.5,137269人评价,无介绍
雨中曲,吉恩·..., 美国   喜剧歌舞爱情,1952 ,9.1,229375人评价,骨灰级歌舞片。
岁月神偷,吴君如SandraNg/任达华SimonYam/钟绍..., 中国香港中国大陆   剧情家庭,2010 ,8.7,578002人评价,岁月流逝，来日可追。
2001太空漫游,凯尔·杜拉KeirDullea/..., 英国美国   科幻惊悚冒险,1968 ,8.9,335353人评价,现代科幻电影的开山之作，最伟大导演的最伟大影片。
忠犬八公物语,仲代达矢TatsuyaNakadai/..., 日本   剧情,1987 ,9.2,198059人评价,养狗三日，便会对你终其一生。
心灵奇旅,杰米·..., 美国   动画奇幻音乐,2020 ,8.7,994789人评价,无介绍
荒蛮故事,达里奥·葛兰帝内提Darío..., 阿根廷西班牙   剧情喜剧犯罪,2014 ,8.8,448404人评价,始于荒诞，止于更荒诞。
无间道2,陈冠希EdisonChen/余文乐ShawnYue/曾..., 中国香港   剧情犯罪惊悚,2003 ,8.7,486068人评价,无介绍
小偷家族,中川雅也LilyFranky/安藤樱Sa..., 日本   剧情犯罪家庭,2018 ,8.7,819043人评价,我们组成了家。
无敌破坏王,约翰·C·赖利JohnC.Reilly/萨拉..., 美国   喜剧动画奇幻冒险,2012 ,8.7,546368人评价,迪士尼和皮克斯拿错剧本的产物。
爆裂鼓手,迈尔斯·特勒MilesTeller/..., 美国   剧情音乐,2014 ,8.7,594872人评价,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
冰川时代,无信息, 美国   喜剧动画冒险,2002 ,8.6,621955人评价,松鼠才是角儿。
恐怖游轮,梅利莎·乔治Melissa..., 英国澳大利亚   剧情悬疑惊悚,2009 ,8.5,874904人评价,不要企图在重复中寻找已经失去的爱。
贫民窟的百万富翁,戴夫..., 英国   剧情爱情,2008 ,8.6,751272人评价,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
东邪西毒,张国荣LeslieCheung/林青霞Brigitte..., 中国香港中国台湾   剧情动作爱情武侠古装,1994 ,8.6,581838人评价,电影诗。
牯岭街少年杀人事件,张震ChenChang/杨静怡LisaYang/张..., 中国台湾   剧情犯罪,1991 ,8.9,305514人评价,弱者送给弱者的一刀。
魔女宅急便,高山南MinamiTakayama/佐久间玲Re..., 日本   动画奇幻冒险,1989 ,8.7,465000人评价,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
遗愿清单,杰克·尼科尔森JackNicholson/摩根..., 美国   冒险喜剧剧情,2007 ,8.7,468118人评价,用剩余不多的时间，去燃烧整个生命。
东京教父,江守彻ToruEmori/梅垣义明YoshiakiUme..., 日本   剧情喜剧动画,2003 ,9.0,234816人评价,无介绍
大佛普拉斯,庄益增YizengZhuang/陈竹昇Chu-sh..., 中国台湾   剧情喜剧,2017 ,8.7,466026人评价,人们可以登上月球，却永远无法探索人们内心的宇宙。
你看起来好像很好吃,山口胜平KappeiYamaguchi/爱河..., 日本   剧情动画儿童,2010 ,8.9,336490人评价,感情不分食草或者食肉。
真爱至上,休·格兰特HughGrant/柯林..., 英国美国法国   喜剧剧情爱情,2003 ,8.6,736654人评价,爱，是个动词。
黑天鹅,娜塔莉·波特曼Natalie..., 美国   剧情惊悚,2010 ,8.6,785857人评价,黑暗之美。
可可西里,多布杰Duobujie/张磊LeiZhang/亓亮QiL..., 中国大陆中国香港   剧情犯罪,2004 ,8.9,306824人评价,坚硬的信仰。
城市之光,查理·卓别林CharlesChaplin/弗吉尼亚·..., 美国   喜剧剧情爱情,1931 ,9.3,148932人评价,永远的小人物，伟大的卓别林。
源代码,杰克·吉伦哈尔JakeGyllenhaal/..., 美国加拿大   科幻悬疑惊悚,2011 ,8.5,842882人评价,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
海边的曼彻斯特,卡西·阿弗莱克CaseyAffle..., 美国   剧情家庭,2016 ,8.6,550483人评价,我们都有权利不与自己的过去和解。
雨人,达斯汀·霍夫曼DustinHoffman..., 美国   剧情,1988 ,8.7,407705人评价,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
波西米亚狂想曲,拉米·马雷克RamiMalek/本·哈..., 英国美国   剧情传记同性音乐,2018 ,8.6,612587人评价,无介绍
初恋这件小事,无信息, 泰国   剧情喜剧爱情,2010 ,8.5,986481人评价,黑小鸭速效美白记。
恋恋笔记本,瑞恩·高斯林RyanGosling/..., 美国   剧情爱情,2004 ,8.5,678249人评价,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
人工智能,海利·乔·奥斯蒙Haley..., 美国英国   剧情科幻,2001 ,8.7,451749人评价,对爱的执着，可以超越一切。
青蛇,张曼玉MaggieCheung/王祖贤JoeyWang/..., 中国香港中国大陆   剧情爱情奇幻古装,1993 ,8.6,532520人评价,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
虎口脱险,路易·德·菲耐斯LouisdeFunès..., 法国英国   喜剧战争,1966 ,8.9,260480人评价,永远看不腻的喜剧。
终结者2：审判日,阿诺·施瓦辛格ArnoldSchwarz..., 美国法国   动作科幻,1991 ,8.8,345328人评价,少见的超越首部的续集，动作片中的经典。
疯狂的麦克斯4：狂暴之路,汤姆·哈迪TomHardy/查理兹·塞..., 澳大利亚美国   动作科幻冒险,2015 ,8.7,536479人评价,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~
末路狂花,吉娜·戴维斯GeenaDavis/苏..., 美国英国法国   犯罪剧情惊悚,1991 ,8.9,262832人评价,没有了退路，只好飞向自由。
罗生门,三船敏郎ToshirôMifune/京町子..., 日本   剧情犯罪悬疑,1950 ,8.8,318376人评价,人生的N种可能性。
新龙门客栈,张曼玉MaggieCheung/林青霞Brigitte..., 中国香港中国大陆   动作爱情武侠古装,1992 ,8.7,449552人评价,嬉笑怒骂，调风动月。
千钧一发,伊桑·霍克EthanHawke/乌玛..., 美国   剧情科幻惊悚,1997 ,8.8,303271人评价,一部能引人思考的科幻励志片。
萤火虫之墓,辰己努/白石绫乃/志乃原良子, 日本   动画剧情战争,1988 ,8.7,407628人评价,幸福是生生不息，却难以触及的远。 
无耻混蛋,布拉德·皮特BradPitt/..., 德国美国   剧情犯罪,2009 ,8.7,484053人评价,昆汀同学越来越变态了，比北野武还杜琪峰。
崖上的波妞,奈良柚莉爱YuriaNara/土井洋辉Hir..., 日本   动画奇幻冒险,2008 ,8.6,504411人评价,无介绍
花束般的恋爱,菅田将晖MasakiSuda/有村架纯Kasu..., 日本   剧情爱情,2021 ,8.6,637112人评价,无介绍
彗星来的那一夜,艾米丽·芭尔多尼Em..., 美国英国   科幻悬疑惊悚,2013 ,8.6,588731人评价,小成本大魅力。
芙蓉镇,刘晓庆XiaoqingLiu/姜文WenJiang/郑在石..., 中国大陆   剧情爱情,1987 ,9.3,142950人评价,无介绍
奇迹男孩,雅各布·特伦布莱JacobTr..., 美国中国香港   剧情儿童家庭,2017 ,8.6,555487人评价,世界不完美，爱会有奇迹。
爱乐之城,瑞恩·高斯林RyanGosling/..., 美国   剧情爱情歌舞,2016 ,8.4,910305人评价,无介绍
二十二,, 中国大陆   纪录片,2015 ,8.7,293727人评价,有一些东西不应该被遗忘。
黑客帝国2：重装上阵,无信息, 美国   动作科幻,2003 ,8.7,410544人评价,一个精彩的世界观正在缓缓建立。
哈利·波特与死亡圣器(上),丹尼尔·雷德克里夫DanielRadcliffe..., 英国美国   奇幻冒险,2010 ,8.5,585302人评价,最忠于原著的一部。
血钻,莱昂纳多·迪卡普里奥Leonardo..., 美国德国英国   剧情惊悚冒险,2006 ,8.7,384062人评价,每个美丽事物背后都是滴血的现实。
战争之王,尼古拉斯·凯奇NicolasCage/..., 美国德国   剧情犯罪,2005 ,8.7,372881人评价,做一颗让别人需要你的棋子。
步履不停,阿部宽HiroshiAbe/夏川结衣Yu..., 日本   剧情家庭,2008 ,8.8,282601人评价,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
房间,布丽·拉尔森BrieLarson..., 爱尔兰加拿大英国美国   剧情家庭,2015 ,8.8,370721人评价,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
火星救援,马特·达蒙MattDamon/杰西卡..., 英国美国匈牙利约旦   剧情科幻冒险,2015 ,8.5,738069人评价,无介绍
魂断蓝桥,费雯·丽VivienLeigh/罗伯特·..., 美国   剧情爱情战争,1940 ,8.8,281630人评价,中国式内在的美国电影。
千年女优,庄司美代子MiyokoShôji/小山茉美Mam..., 日本   动画剧情爱情,2001 ,8.8,272018人评价,爱情是一场没有尽头的虚幻追逐。
谍影重重2,马特·达蒙MattDamon/..., 美国德国   动作悬疑惊悚,2004 ,8.7,356886人评价,谁说王家卫镜头很晃？
白日梦想家,本·斯蒂勒BenStiller/克里斯汀·..., 美国英国   剧情喜剧冒险,2013 ,8.6,491629人评价,无介绍
哈利·波特与凤凰社,丹尼尔·雷德克里夫DanielRadcliffe..., 英国美国   奇幻冒险,2007 ,8.5,579419人评价,无介绍
弱点,桑德拉·布洛克SandraBu..., 美国   剧情家庭传记运动,2009 ,8.7,313457人评价,拍掉身上的悲伤，从今天开始重新踏上追梦之旅。
阿飞正传,张国荣LeslieCheung/张曼玉MaggieC..., 中国香港   犯罪剧情爱情,1990 ,8.5,516180人评价,王家卫是一种风格，张国荣是一个代表。
蜘蛛侠：平行宇宙,无信息, 美国   动作科幻动画冒险,2018 ,8.6,674251人评价,无介绍
谍影重重,马特·达蒙MattDamon/弗兰卡·波坦..., 美国德国捷克   动作悬疑惊悚,2002 ,8.6,432341人评价,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
朗读者,凯特·温丝莱特KateWinslet..., 美国德国   剧情爱情,2008 ,8.6,456864人评价,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 
燃情岁月,布拉德·皮特BradPitt/安东..., 美国   剧情爱情战争西部,1994 ,8.7,289725人评价,传奇，不是每个人都可以拥有。
再次出发之纽约遇见你,凯拉·奈特莉KeiraKnightley/马克..., 美国   喜剧爱情音乐,2013 ,8.6,431272人评价,爱我就给我看你的播放列表。
香水,本·卫肖BenWhishaw/艾伦·瑞克..., 德国法国西班牙美国比利时   剧情犯罪奇幻,2006 ,8.5,548545人评价,一个单凭体香达到高潮的男人。
发条橙,马尔科姆·麦克道威尔Malc..., 英国美国   犯罪剧情科幻,1971 ,8.6,369507人评价,我完全康复了。
